customer_number,customer_rating,customer_rating_limit,customer_status
1111615614,173644,378930,low-value
z1111753583,93557,456816,low-value
1111684931,173807,400732,low-value
1111621887,157117,368847,low-value
1111854427,121303,422417,low-value
1111803774,220817,427137,low-value
1111729238,447130,569552,low-value
11118d14971,181631,367411,high-value
1111746779,196596,435628,low-value
1111677563,220481,345799,low-value
1111575909,501297,518794,low-value
1111635729,239265,507145,high-value
1111883773,429816,589368,low-value
1111655519,505977,514790,high-value
1111611623,222980,325835,low-value
1111845735,83349,364112,high-value
1111808300,218431,552217,low-value
1111892055x,189477,350101,low-value
1111603938,472668,484180,high-value
