customer_number,customer_rating,customer_rating_limit,customer_status
1111954003,434958,489803,low-value
1111818964,294653,573524,low-value
1111886425,339817,390799,low-value
1111880377,300437,490089,low-value
1111739394,70644,451973,low-value
1111824937,405120,504356,low-value
1111757855,233259,402130,low-value
1111950601,174266,334236,low-value
1111815930,246584,498295,low-value
1111656491,269852,395428,low-value
1111780910,170882,447791,low-value
1111967740,341016,356181,low-value
1111637682,291528,383454,low-value
1111651024,162302,323428,low-value
1111661258,430028,435091,low-value
1111656589,120427,529888,low-value
1111961785,60970,328668,high-value
1111995912,232045,577912,low-value
1111617861,350956,530753,low-value
