customer_number,customer_rating,customer_rating_limit,customer_status
1111731264,302889,357666,low-value
1111882091,354283,355669,low-value
1111843253,131275,377608,low-value
1111943721,400047,532844,low-value
1111741508,109221,537016,low-value
1111721936,176143,317405,low-value
1111820365,326462,496959,low-value
11119b88202,303928,311627,low-value
1111838965,319611,570711,low-value
1111899041,112590,323182,low-value
1111776259,147125,324618,low-value
1111600152,131664,525855,low-value
1111977305,243006,419263,low-value
1111701084,207968,462801,low-value
1111671132,325822,399501,low-value
1111965057,423539,546487,low-value
1111870130,333321,349840,low-value
1111613210,175504,546504,low-value
1111805055,212199,521143,low-value
